"CallerFile","Line","Target","Resolution","TargetFile","TargetVariants"
"008_Триггер на изменение меппинга.txt","149","SyncMappingChange_One","CrossUnique","011_Синхронизатор меппинга.txt","1"
"015_Мастер проводки к исключению.txt","71","Обработать_Все_ЖП_Ч_БезФильтров","CrossUnique","004_Обработка ЖП_1.txt","1"
"015_Мастер проводки к исключению.txt","75","Проставить_Меппинг_Во_Всех_Журналах","CrossUnique","005_Обработка ЖП_2.txt","1"
"015_Мастер проводки к исключению.txt","76","Установить_Ширины_ЖП","CrossUnique","006_Обработка ЖП_3.txt","1"
"015_Мастер проводки к исключению.txt","80","Заполнить_Проводки_К_Исключению","CrossUnique","007_Проводки к исключению_1.txt","1"
"015_Мастер проводки к исключению.txt","81","Вставить_Формулы_Итогов","CrossUnique","012_Вставить формулы анализ к исключению.txt","1"
"015_Мастер проводки к исключению.txt","85","ApplyMappingValidationOnExclusions","CrossUnique","011_Синхронизатор меппинга.txt","1"
"015_Мастер проводки к исключению.txt","89","Сформировать_Популяцию_Для_Тестирования","CrossUnique","013_Сформировать популяцию для тестирования.txt","1"
"015_Мастер проводки к исключению.txt","93","Популяция_Проставить_Ответственных","CrossUnique","014_Притянуть ответственных.txt","1"
"020_Мастер своды.txt","75","Заполнить_Своды_Сумм","CrossUnique","017_Свод по суммам.txt","1"
"020_Мастер своды.txt","79","Заполнить_Свод_По_Дате","CrossUnique","018_Свод по дате.txt","1"
"020_Мастер своды.txt","83","Заполнить_Свод_По_Ответственному","CrossUnique","019_Свод по ответственным.txt","1"
"024_4. Операции без содержания_0_мастер.txt","56","Заполнить_Операции_Без_Содержания","CrossUnique","021_4. Операции без содержания_1_популяция.txt","1"
"024_4. Операции без содержания_0_мастер.txt","64","OBS_К_Запросу","CrossUnique","022_4. Операции без содержания_2_к_запросу.txt","1"
"024_4. Операции без содержания_0_мастер.txt","72","Отметить_ОБС_К_Запросу","CrossUnique","023_4. Операции без содержания_3_синхрон.txt","1"
"024_4. Операции без содержания_0_мастер.txt","78","Отметить_ОБС_К_Запросу","CrossUnique","023_4. Операции без содержания_3_синхрон.txt","1"
"027_Мастер 5-6.txt","56","Заполнить_Топ_Активность","CrossUnique","025_5. Необычная активность.txt","1"
"027_Мастер 5-6.txt","64","Заполнить_лист_по_идентификатору","CrossUnique","026_6. По идентификатору.txt","1"
"036_7. Праздничные дни_МАСТЕР.txt","56","Заполнить_Свод_Праздники","CrossUnique","028_7. Праздничные дни_1_свод.txt","1"
"036_7. Праздничные дни_МАСТЕР.txt","64","Сформировать_Популяцию_Праздники","CrossUnique","029_7. Праздничные дни_2_популяция.txt","1"
"036_7. Праздничные дни_МАСТЕР.txt","80","Рандом_выборка_праздники","CrossUnique","032_7. Праздничные дни_4_рандом выборка.txt","1"
"036_7. Праздничные дни_МАСТЕР.txt","88","Вставить_на_лист_праздники","CrossUnique","033_7. Праздничные дни_5_вставить на лист.txt","1"
"036_7. Праздничные дни_МАСТЕР.txt","94","Отметить_HOL_К_Запросу","CrossUnique","035_7. Праздничные дни_6_синхрон_с_популяцией.txt","1"
"037_7. Праздничные дни_МАСТЕР рандом.txt","56","Заполнить_Свод_Праздники","CrossUnique","028_7. Праздничные дни_1_свод.txt","1"
"037_7. Праздничные дни_МАСТЕР рандом.txt","64","Сформировать_Популяцию_Праздники","CrossUnique","029_7. Праздничные дни_2_популяция.txt","1"
"037_7. Праздничные дни_МАСТЕР рандом.txt","80","Рандом_выборка_праздники","CrossUnique","032_7. Праздничные дни_4_рандом выборка.txt","1"
"037_7. Праздничные дни_МАСТЕР рандом.txt","88","Вставить_на_лист_праздники","CrossUnique","033_7. Праздничные дни_5_вставить на лист.txt","1"
"037_7. Праздничные дни_МАСТЕР рандом.txt","94","Отметить_HOL_К_Запросу","CrossUnique","035_7. Праздничные дни_6_синхрон_с_популяцией.txt","1"
"038_7. Праздничные дни_МАСТЕР свод.txt","56","Заполнить_Свод_Праздники","CrossUnique","028_7. Праздничные дни_1_свод.txt","1"
"038_7. Праздничные дни_МАСТЕР свод.txt","64","Сформировать_Популяцию_Праздники","CrossUnique","029_7. Праздничные дни_2_популяция.txt","1"
"038_7. Праздничные дни_МАСТЕР свод.txt","72","Заполнить_Свод_Праздники_Регистр","CrossUnique","030_7. Праздничные дни_2_2_допник_регистр.txt","1"
"042_8. Нетипичные корреспонденции_4_рандом выборка.txt","309","Копировать_нетипчные_проводки_в_3л","CrossUnique","041_8. Нетипичные корреспонденции_3_фильтр_3л.txt","1"
"042_8. Нетипичные корреспонденции_4_рандом выборка.txt","666","Вставить_на_лист_нетипичные","CrossUnique","043_8. Нетипичные корреспонденции_5_вставить на лист.txt","1"
"043_8. Нетипичные корреспонденции_5_вставить на лист.txt","294","Отметить_нетипичные_К_Запросу","CrossUnique","047_8. Нетипичные корреспонденции_6_синхрон_с_популяцией.txt","1"
"044_8. Нетипичные корреспонденции_триггер_на_настройки.txt","102","Рандом_выборка_нетипичные","CrossUnique","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","1"
"044_8. Нетипичные корреспонденции_триггер_на_настройки.txt","109","Рандом_выборка_нетипичные","CrossUnique","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","1"
"044_8. Нетипичные корреспонденции_триггер_на_настройки.txt","134","Рандом_выборка_нетипичные","CrossUnique","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","56","Заполнить_нетипичные_корреспонденции","CrossUnique","039_8. Нетипичные корреспонденции_1_свод.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","64","Собрать_Нетипичные_Популяция","CrossUnique","040_8. Нетипичные корреспонденции_2_популяция.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","72","Копировать_нетипчные_проводки_в_3л","CrossUnique","041_8. Нетипичные корреспонденции_3_фильтр_3л.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","80","Рандом_выборка_нетипичные","CrossUnique","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","88","Вставить_на_лист_нетипичные","CrossUnique","043_8. Нетипичные корреспонденции_5_вставить на лист.txt","1"
"045_8. Нетипичные корреспонденции_МАСТЕР.txt","94","Отметить_нетипичные_К_Запросу","CrossUnique","047_8. Нетипичные корреспонденции_6_синхрон_с_популяцией.txt","1"
"046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","56","Собрать_Нетипичные_Популяция","CrossUnique","040_8. Нетипичные корреспонденции_2_популяция.txt","1"
"046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","64","Копировать_нетипчные_проводки_в_3л","CrossUnique","041_8. Нетипичные корреспонденции_3_фильтр_3л.txt","1"
"046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","72","Рандом_выборка_нетипичные","CrossUnique","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","1"
"046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","80","Вставить_на_лист_нетипичные","CrossUnique","043_8. Нетипичные корреспонденции_5_вставить на лист.txt","1"
"046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","86","Отметить_нетипичные_К_Запросу","CrossUnique","047_8. Нетипичные корреспонденции_6_синхрон_с_популяцией.txt","1"
"051_9. Ручные со связ. ст_МАСТЕР.txt","56","Заполнить_Ручные_Со_Связанными_Сторонами","CrossUnique","048_9. Ручные со связ. ст_1_популяция.txt","1"
"051_9. Ручные со связ. ст_МАСТЕР.txt","64","К_запросу_ручные_ВГО","CrossUnique","049_9. Ручные со связ. ст_2_к_запросу.txt","1"
"051_9. Ручные со связ. ст_МАСТЕР.txt","72","Отметить_ручные_ВГО_к_Запросу","CrossUnique","050_9. Ручные со связ. ст_3_синхрон_с_популяцией.txt","1"
"052_9. Ручные со связ. ст_МАСТЕР_синхрон.txt","64","К_запросу_ручные_ВГО","CrossUnique","049_9. Ручные со связ. ст_2_к_запросу.txt","1"
"052_9. Ручные со связ. ст_МАСТЕР_синхрон.txt","72","Отметить_ручные_ВГО_к_Запросу","CrossUnique","050_9. Ручные со связ. ст_3_синхрон_с_популяцией.txt","1"
"057_10. РО по вводу доходов_триггер_на_настройки.txt","149","Мастер_РО_по_вводу_доходов","CrossUnique","059_10. РО по вводу доходов_МАСТЕР.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","56","Заполнить_РО_по_вводу_доходов_популяция","CrossUnique","053_10. РО по вводу доходов_1_популяция.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","64","Копировать_РО_по_вводу_доходов_в_3л","CrossUnique","054_10. РО по вводу доходов_2_фильтр_3л.txt","1"
